full_name,url,stars,forks,open_issues,contributors,commits,releases,has_ci,readme_length,n_topics,has_license,language,age_days,days_since_push,commits_per_contributor,has_readme,age_years,activity,text
unslothai/unsloth,https://github.com/unslothai/unsloth,65331,5816,1336,184,5438,36,1,18749,19,1,Python,912,0,29.6,1,2.5,active,"Repository in Python with very high popularity (65331 stars, 5816 forks). Maintained by a large community of 184 contributors, 5438 total commits (29.6 per contributor). 36 releases, 1336 open issues. It has CI/CD workflows, has a README of 18749 characters, 19 topics, and is licensed. The project is 2.5 years old and currently active (last push 0 days ago)."
langflow-ai/langflow,https://github.com/langflow-ai/langflow,148878,9142,932,323,17738,294,1,4690,6,1,Python,1205,0,54.9,1,3.3,active,"Repository in Python with very high popularity (148878 stars, 9142 forks). Maintained by a large community of 323 contributors, 17738 total commits (54.9 per contributor). 294 releases, 932 open issues. It has CI/CD workflows, has a README of 4690 characters, 6 topics, and is licensed. The project is 3.3 years old and currently active (last push 0 days ago)."
anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,28574,3046,694,33,434,0,1,3115,3,1,Python,189,0,13.2,1,0.5,active,"Repository in Python with very high popularity (28574 stars, 3046 forks). Maintained by a team of 33 contributors, 434 total commits (13.2 per contributor). 0 releases, 694 open issues. It has CI/CD workflows, has a README of 3115 characters, 3 topics, and is licensed. The project is 0.5 years old and currently active (last push 0 days ago)."
HKUDS/nanobot,https://github.com/HKUDS/nanobot,43367,7656,928,286,2687,16,1,23359,13,1,Python,117,0,9.4,1,0.3,active,"Repository in Python with very high popularity (43367 stars, 7656 forks). Maintained by a large community of 286 contributors, 2687 total commits (9.4 per contributor). 16 releases, 928 open issues. It has CI/CD workflows, has a README of 23359 characters, 13 topics, and is licensed. The project is 0.3 years old and currently active (last push 0 days ago)."
huggingface/transformers,https://github.com/huggingface/transformers,161051,33355,2368,438,22973,257,1,17904,19,1,Python,2769,0,52.4,1,7.6,active,"Repository in Python with very high popularity (161051 stars, 33355 forks). Maintained by a large community of 438 contributors, 22973 total commits (52.4 per contributor). 257 releases, 2368 open issues. It has CI/CD workflows, has a README of 17904 characters, 19 topics, and is licensed. The project is 7.6 years old and currently active (last push 0 days ago)."
commaai/openpilot,https://github.com/commaai/openpilot,61197,10939,162,427,17196,62,1,7127,3,1,Python,3473,0,40.3,1,9.5,active,"Repository in Python with very high popularity (61197 stars, 10939 forks). Maintained by a large community of 427 contributors, 17196 total commits (40.3 per contributor). 62 releases, 162 open issues. It has CI/CD workflows, has a README of 7127 characters, 3 topics, and is licensed. The project is 9.5 years old and currently active (last push 0 days ago)."
paperless-ngx/paperless-ngx,https://github.com/paperless-ngx/paperless-ngx,41703,2764,9,390,11444,149,1,7093,11,1,Python,1566,0,29.3,1,4.3,active,"Repository in Python with very high popularity (41703 stars, 2764 forks). Maintained by a large community of 390 contributors, 11444 total commits (29.3 per contributor). 149 releases, 9 open issues. It has CI/CD workflows, has a README of 7093 characters, 11 topics, and is licensed. The project is 4.3 years old and currently active (last push 0 days ago)."
lucidrains/vit-pytorch,https://github.com/lucidrains/vit-pytorch,25228,3489,141,26,399,251,0,75527,5,1,Python,2063,0,15.3,1,5.7,active,"Repository in Python with very high popularity (25228 stars, 3489 forks). Maintained by a team of 26 contributors, 399 total commits (15.3 per contributor). 251 releases, 141 open issues. It lacks CI/CD workflows, has a README of 75527 characters, 5 topics, and is licensed. The project is 5.7 years old and currently active (last push 0 days ago)."
exo-explore/exo,https://github.com/exo-explore/exo,44975,3202,238,95,2348,16,1,21276,0,1,Python,703,0,24.7,1,1.9,active,"Repository in Python with very high popularity (44975 stars, 3202 forks). Maintained by a large community of 95 contributors, 2348 total commits (24.7 per contributor). 16 releases, 238 open issues. It has CI/CD workflows, has a README of 21276 characters, no topics, and is licensed. The project is 1.9 years old and currently active (last push 0 days ago)."
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,172623,29055,14979,384,9945,16,1,13822,16,1,Python,310,0,25.9,1,0.8,active,"Repository in Python with very high popularity (172623 stars, 29055 forks). Maintained by a large community of 384 contributors, 9945 total commits (25.9 per contributor). 16 releases, 14979 open issues. It has CI/CD workflows, has a README of 13822 characters, 16 topics, and is licensed. The project is 0.8 years old and currently active (last push 0 days ago)."
OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,75311,9549,364,462,6801,102,1,8358,9,1,Python,807,0,14.7,1,2.2,active,"Repository in Python with very high popularity (75311 stars, 9549 forks). Maintained by a large community of 462 contributors, 6801 total commits (14.7 per contributor). 102 releases, 364 open issues. It has CI/CD workflows, has a README of 8358 characters, 9 topics, and is licensed. The project is 2.2 years old and currently active (last push 0 days ago)."
frappe/erpnext,https://github.com/frappe/erpnext,35103,11487,2120,278,58153,1744,1,7438,16,1,Python,5469,0,209.2,1,15.0,active,"Repository in Python with very high popularity (35103 stars, 11487 forks). Maintained by a large community of 278 contributors, 58153 total commits (209.2 per contributor). 1744 releases, 2120 open issues. It has CI/CD workflows, has a README of 7438 characters, 16 topics, and is licensed. The project is 15.0 years old and currently active (last push 0 days ago)."
PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,22499,2325,828,422,21556,829,1,8544,14,1,Python,2890,0,51.1,1,7.9,active,"Repository in Python with very high popularity (22499 stars, 2325 forks). Maintained by a large community of 422 contributors, 21556 total commits (51.1 per contributor). 829 releases, 828 open issues. It has CI/CD workflows, has a README of 8544 characters, 14 topics, and is licensed. The project is 7.9 years old and currently active (last push 0 days ago)."
ray-project/ray,https://github.com/ray-project/ray,42705,7610,3457,406,30500,125,1,6506,20,1,Python,3502,0,75.1,1,9.6,active,"Repository in Python with very high popularity (42705 stars, 7610 forks). Maintained by a large community of 406 contributors, 30500 total commits (75.1 per contributor). 125 releases, 3457 open issues. It has CI/CD workflows, has a README of 6506 characters, 20 topics, and is licensed. The project is 9.6 years old and currently active (last push 0 days ago)."
langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,33328,5622,548,275,6904,540,1,6351,18,1,Python,1023,0,25.1,1,2.8,active,"Repository in Python with very high popularity (33328 stars, 5622 forks). Maintained by a large community of 275 contributors, 6904 total commits (25.1 per contributor). 540 releases, 548 open issues. It has CI/CD workflows, has a README of 6351 characters, 18 topics, and is licensed. The project is 2.8 years old and currently active (last push 0 days ago)."
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,114906,13421,4037,307,5337,140,1,30186,6,1,Python,1228,0,17.4,1,3.4,active,"Repository in Python with very high popularity (114906 stars, 13421 forks). Maintained by a large community of 307 contributors, 5337 total commits (17.4 per contributor). 140 releases, 4037 open issues. It has CI/CD workflows, has a README of 30186 characters, 6 topics, and is licensed. The project is 3.4 years old and currently active (last push 0 days ago)."
jax-ml/jax,https://github.com/jax-ml/jax,35716,3600,2336,397,36070,137,1,10744,1,1,Python,2772,0,90.9,1,7.6,active,"Repository in Python with very high popularity (35716 stars, 3600 forks). Maintained by a large community of 397 contributors, 36070 total commits (90.9 per contributor). 137 releases, 2336 open issues. It has CI/CD workflows, has a README of 10744 characters, 1 topics, and is licensed. The project is 7.6 years old and currently active (last push 0 days ago)."
ZhuLinsen/daily_stock_analysis,https://github.com/ZhuLinsen/daily_stock_analysis,39380,38025,33,73,696,23,1,9568,7,1,Python,139,0,9.5,1,0.4,active,"Repository in Python with very high popularity (39380 stars, 38025 forks). Maintained by a large community of 73 contributors, 696 total commits (9.5 per contributor). 23 releases, 33 open issues. It has CI/CD workflows, has a README of 9568 characters, 7 topics, and is licensed. The project is 0.4 years old and currently active (last push 0 days ago)."
wshobson/agents,https://github.com/wshobson/agents,36126,3919,4,62,433,0,1,7252,20,1,Python,308,0,7.0,1,0.8,active,"Repository in Python with very high popularity (36126 stars, 3919 forks). Maintained by a large community of 62 contributors, 433 total commits (7.0 per contributor). 0 releases, 4 open issues. It has CI/CD workflows, has a README of 7252 characters, 20 topics, and is licensed. The project is 0.8 years old and currently active (last push 0 days ago)."
home-assistant/core,https://github.com/home-assistant/core,87383,37571,4034,427,110759,1601,1,1964,8,1,Python,4637,0,259.4,1,12.7,active,"Repository in Python with very high popularity (87383 stars, 37571 forks). Maintained by a large community of 427 contributors, 110759 total commits (259.4 per contributor). 1601 releases, 4034 open issues. It has CI/CD workflows, has a README of 1964 characters, 8 topics, and is licensed. The project is 12.7 years old and currently active (last push 0 days ago)."
521xueweihan/GitHub520,https://github.com/521xueweihan/GitHub520,28791,2710,13,13,23536,0,1,6458,3,0,Python,2207,0,1810.5,1,6.0,active,"Repository in Python with very high popularity (28791 stars, 2710 forks). Maintained by a team of 13 contributors, 23536 total commits (1810.5 per contributor). 0 releases, 13 open issues. It has CI/CD workflows, has a README of 6458 characters, 3 topics, and is no license. The project is 6.0 years old and currently active (last push 0 days ago)."
marimo-team/marimo,https://github.com/marimo-team/marimo,21231,1108,629,285,6138,360,1,16647,13,1,Python,1018,0,21.5,1,2.8,active,"Repository in Python with very high popularity (21231 stars, 1108 forks). Maintained by a large community of 285 contributors, 6138 total commits (21.5 per contributor). 360 releases, 629 open issues. It has CI/CD workflows, has a README of 16647 characters, 13 topics, and is licensed. The project is 2.8 years old and currently active (last push 0 days ago)."
agno-agi/agno,https://github.com/agno-agi/agno,40420,5444,867,446,5642,192,1,4173,5,1,Python,1486,0,12.7,1,4.1,active,"Repository in Python with very high popularity (40420 stars, 5444 forks). Maintained by a large community of 446 contributors, 5642 total commits (12.7 per contributor). 192 releases, 867 open issues. It has CI/CD workflows, has a README of 4173 characters, 5 topics, and is licensed. The project is 4.1 years old and currently active (last push 0 days ago)."
onnx/onnx,https://github.com/onnx/onnx,20905,3934,264,355,3780,37,1,7871,13,1,Python,3186,0,10.6,1,8.7,active,"Repository in Python with very high popularity (20905 stars, 3934 forks). Maintained by a large community of 355 contributors, 3780 total commits (10.6 per contributor). 37 releases, 264 open issues. It has CI/CD workflows, has a README of 7871 characters, 13 topics, and is licensed. The project is 8.7 years old and currently active (last push 0 days ago)."
HKUDS/LightRAG,https://github.com/HKUDS/LightRAG,35955,5078,222,256,8038,72,1,24634,9,1,Python,604,0,31.4,1,1.7,active,"Repository in Python with very high popularity (35955 stars, 5078 forks). Maintained by a large community of 256 contributors, 8038 total commits (31.4 per contributor). 72 releases, 222 open issues. It has CI/CD workflows, has a README of 24634 characters, 9 topics, and is licensed. The project is 1.7 years old and currently active (last push 0 days ago)."
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,184643,46208,429,429,8637,106,1,11725,11,1,Python,1170,0,20.1,1,3.2,active,"Repository in Python with very high popularity (184643 stars, 46208 forks). Maintained by a large community of 429 contributors, 8637 total commits (20.1 per contributor). 106 releases, 429 open issues. It has CI/CD workflows, has a README of 11725 characters, 11 topics, and is licensed. The project is 3.2 years old and currently active (last push 0 days ago)."
ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,57761,11083,316,358,4030,384,1,34191,20,1,Python,1356,0,11.3,1,3.7,active,"Repository in Python with very high popularity (57761 stars, 11083 forks). Maintained by a large community of 358 contributors, 4030 total commits (11.3 per contributor). 384 releases, 316 open issues. It has CI/CD workflows, has a README of 34191 characters, 20 topics, and is licensed. The project is 3.7 years old and currently active (last push 0 days ago)."
langchain-ai/deepagents,https://github.com/langchain-ai/deepagents,23533,3323,180,120,2004,152,1,6787,6,1,Python,305,0,16.7,1,0.8,active,"Repository in Python with very high popularity (23533 stars, 3323 forks). Maintained by a large community of 120 contributors, 2004 total commits (16.7 per contributor). 152 releases, 180 open issues. It has CI/CD workflows, has a README of 6787 characters, 6 topics, and is licensed. The project is 0.8 years old and currently active (last push 0 days ago)."
facefusion/facefusion,https://github.com/facefusion/facefusion,28603,4655,1,3,397,19,1,2842,7,1,Python,1015,0,132.3,1,2.8,active,"Repository in Python with very high popularity (28603 stars, 4655 forks). Maintained by a small team of 3 contributors, 397 total commits (132.3 per contributor). 19 releases, 1 open issues. It has CI/CD workflows, has a README of 2842 characters, 7 topics, and is licensed. The project is 2.8 years old and currently active (last push 0 days ago)."
odoo/odoo,https://github.com/odoo/odoo,51720,32576,9761,296,200198,0,0,2044,7,1,Python,4399,0,676.3,1,12.1,active,"Repository in Python with very high popularity (51720 stars, 32576 forks). Maintained by a large community of 296 contributors, 200198 total commits (676.3 per contributor). 0 releases, 9761 open issues. It lacks CI/CD workflows, has a README of 2044 characters, 7 topics, and is licensed. The project is 12.1 years old and currently active (last push 0 days ago)."
pydantic/pydantic,https://github.com/pydantic/pydantic,27871,2651,568,459,5521,199,1,3451,11,1,Python,3312,0,12.0,1,9.1,active,"Repository in Python with very high popularity (27871 stars, 2651 forks). Maintained by a large community of 459 contributors, 5521 total commits (12.0 per contributor). 199 releases, 568 open issues. It has CI/CD workflows, has a README of 3451 characters, 11 topics, and is licensed. The project is 9.1 years old and currently active (last push 0 days ago)."
plotly/dash,https://github.com/plotly/dash,24220,2285,547,182,9696,105,1,6478,18,1,Python,4067,0,53.3,1,11.1,active,"Repository in Python with very high popularity (24220 stars, 2285 forks). Maintained by a large community of 182 contributors, 9696 total commits (53.3 per contributor). 105 releases, 547 open issues. It has CI/CD workflows, has a README of 6478 characters, 18 topics, and is licensed. The project is 11.1 years old and currently active (last push 0 days ago)."
keras-team/keras,https://github.com/keras-team/keras,64069,19747,174,406,12434,89,1,5354,8,1,Python,4080,0,30.6,1,11.2,active,"Repository in Python with very high popularity (64069 stars, 19747 forks). Maintained by a large community of 406 contributors, 12434 total commits (30.6 per contributor). 89 releases, 174 open issues. It has CI/CD workflows, has a README of 5354 characters, 8 topics, and is licensed. The project is 11.2 years old and currently active (last push 0 days ago)."
langchain-ai/langchain,https://github.com/langchain-ai/langchain,137981,22849,597,469,16065,1259,1,6046,20,1,Python,1320,0,34.3,1,3.6,active,"Repository in Python with very high popularity (137981 stars, 22849 forks). Maintained by a large community of 469 contributors, 16065 total commits (34.3 per contributor). 1259 releases, 597 open issues. It has CI/CD workflows, has a README of 6046 characters, 20 topics, and is licensed. The project is 3.6 years old and currently active (last push 0 days ago)."
modelcontextprotocol/python-sdk,https://github.com/modelcontextprotocol/python-sdk,23172,3481,506,182,859,56,1,88162,0,1,Python,611,0,4.7,1,1.7,active,"Repository in Python with very high popularity (23172 stars, 3481 forks). Maintained by a large community of 182 contributors, 859 total commits (4.7 per contributor). 56 releases, 506 open issues. It has CI/CD workflows, has a README of 88162 characters, no topics, and is licensed. The project is 1.7 years old and currently active (last push 0 days ago)."
BerriAI/litellm,https://github.com/BerriAI/litellm,48696,8470,3555,385,39436,1336,1,28050,14,1,Python,1037,0,102.4,1,2.8,active,"Repository in Python with very high popularity (48696 stars, 8470 forks). Maintained by a large community of 385 contributors, 39436 total commits (102.4 per contributor). 1336 releases, 3555 open issues. It has CI/CD workflows, has a README of 28050 characters, 14 topics, and is licensed. The project is 2.8 years old and currently active (last push 0 days ago)."
ansible/ansible,https://github.com/ansible/ansible,68714,24148,800,373,55456,232,0,6060,2,1,Python,5197,0,148.7,1,14.2,active,"Repository in Python with very high popularity (68714 stars, 24148 forks). Maintained by a large community of 373 contributors, 55456 total commits (148.7 per contributor). 232 releases, 800 open issues. It lacks CI/CD workflows, has a README of 6060 characters, 2 topics, and is licensed. The project is 14.2 years old and currently active (last push 0 days ago)."
soxoj/maigret,https://github.com/soxoj/maigret,30920,2213,44,52,1354,25,1,15005,20,1,Python,2162,0,26.0,1,5.9,active,"Repository in Python with very high popularity (30920 stars, 2213 forks). Maintained by a large community of 52 contributors, 1354 total commits (26.0 per contributor). 25 releases, 44 open issues. It has CI/CD workflows, has a README of 15005 characters, 20 topics, and is licensed. The project is 5.9 years old and currently active (last push 0 days ago)."
zulip/zulip,https://github.com/zulip/zulip,25290,9850,2037,402,70878,126,1,4867,12,1,Python,3899,0,176.3,1,10.7,active,"Repository in Python with very high popularity (25290 stars, 9850 forks). Maintained by a large community of 402 contributors, 70878 total commits (176.3 per contributor). 126 releases, 2037 open issues. It has CI/CD workflows, has a README of 4867 characters, 12 topics, and is licensed. The project is 10.7 years old and currently active (last push 0 days ago)."
Genesis-Embodied-AI/genesis-world,https://github.com/Genesis-Embodied-AI/genesis-world,29066,2746,123,86,1437,25,1,23535,0,1,Python,941,0,16.7,1,2.6,active,"Repository in Python with very high popularity (29066 stars, 2746 forks). Maintained by a large community of 86 contributors, 1437 total commits (16.7 per contributor). 25 releases, 123 open issues. It has CI/CD workflows, has a README of 23535 characters, no topics, and is licensed. The project is 2.6 years old and currently active (last push 0 days ago)."
pandas-dev/pandas,https://github.com/pandas-dev/pandas,48871,19961,3225,414,38058,120,1,11344,6,1,Python,5757,0,91.9,1,15.8,active,"Repository in Python with very high popularity (48871 stars, 19961 forks). Maintained by a large community of 414 contributors, 38058 total commits (91.9 per contributor). 120 releases, 3225 open issues. It has CI/CD workflows, has a README of 11344 characters, 6 topics, and is licensed. The project is 15.8 years old and currently active (last push 0 days ago)."
mlflow/mlflow,https://github.com/mlflow/mlflow,26187,5793,2071,447,12349,169,1,32289,18,1,Python,2915,0,27.6,1,8.0,active,"Repository in Python with very high popularity (26187 stars, 5793 forks). Maintained by a large community of 447 contributors, 12349 total commits (27.6 per contributor). 169 releases, 2071 open issues. It has CI/CD workflows, has a README of 32289 characters, 18 topics, and is licensed. The project is 8.0 years old and currently active (last push 0 days ago)."
anthropics/financial-services,https://github.com/anthropics/financial-services,28655,4024,151,10,60,0,1,16294,0,1,Python,94,0,6.0,1,0.3,active,"Repository in Python with very high popularity (28655 stars, 4024 forks). Maintained by a team of 10 contributors, 60 total commits (6.0 per contributor). 0 releases, 151 open issues. It has CI/CD workflows, has a README of 16294 characters, no topics, and is licensed. The project is 0.3 years old and currently active (last push 0 days ago)."
numpy/numpy,https://github.com/numpy/numpy,32109,12399,2385,437,41246,143,1,4226,2,1,Python,5736,0,94.4,1,15.7,active,"Repository in Python with very high popularity (32109 stars, 12399 forks). Maintained by a large community of 437 contributors, 41246 total commits (94.4 per contributor). 143 releases, 2385 open issues. It has CI/CD workflows, has a README of 4226 characters, 2 topics, and is licensed. The project is 15.7 years old and currently active (last push 0 days ago)."
github/spec-kit,https://github.com/github/spec-kit,106994,9468,431,202,1034,153,1,31752,7,1,Python,280,0,5.1,1,0.8,active,"Repository in Python with very high popularity (106994 stars, 9468 forks). Maintained by a large community of 202 contributors, 1034 total commits (5.1 per contributor). 153 releases, 431 open issues. It has CI/CD workflows, has a README of 31752 characters, 7 topics, and is licensed. The project is 0.8 years old and currently active (last push 0 days ago)."
openai/skills,https://github.com/openai/skills,20820,1392,255,34,111,0,0,1478,0,0,Python,185,0,3.3,1,0.5,active,"Repository in Python with very high popularity (20820 stars, 1392 forks). Maintained by a team of 34 contributors, 111 total commits (3.3 per contributor). 0 releases, 255 open issues. It lacks CI/CD workflows, has a README of 1478 characters, no topics, and is no license. The project is 0.5 years old and currently active (last push 0 days ago)."
Skyvern-AI/skyvern,https://github.com/Skyvern-AI/skyvern,21774,2026,164,85,4988,140,1,24848,16,1,Python,821,0,58.7,1,2.2,active,"Repository in Python with very high popularity (21774 stars, 2026 forks). Maintained by a large community of 85 contributors, 4988 total commits (58.7 per contributor). 140 releases, 164 open issues. It has CI/CD workflows, has a README of 24848 characters, 16 topics, and is licensed. The project is 2.2 years old and currently active (last push 0 days ago)."
kovidgoyal/calibre,https://github.com/kovidgoyal/calibre,24937,2609,7,371,53537,348,1,1938,10,1,Python,4749,0,144.3,1,13.0,active,"Repository in Python with very high popularity (24937 stars, 2609 forks). Maintained by a large community of 371 contributors, 53537 total commits (144.3 per contributor). 348 releases, 7 open issues. It has CI/CD workflows, has a README of 1938 characters, 10 topics, and is licensed. The project is 13.0 years old and currently active (last push 0 days ago)."
safishamsi/graphify,https://github.com/safishamsi/graphify,56055,5890,277,59,584,120,1,31398,11,1,Python,56,0,9.9,1,0.2,active,"Repository in Python with very high popularity (56055 stars, 5890 forks). Maintained by a large community of 59 contributors, 584 total commits (9.9 per contributor). 120 releases, 277 open issues. It has CI/CD workflows, has a README of 31398 characters, 11 topics, and is licensed. The project is 0.2 years old and currently active (last push 0 days ago)."
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,66202,27041,2036,408,33698,49,1,7520,5,1,Python,5764,0,82.6,1,15.8,active,"Repository in Python with very high popularity (66202 stars, 27041 forks). Maintained by a large community of 408 contributors, 33698 total commits (82.6 per contributor). 49 releases, 2036 open issues. It has CI/CD workflows, has a README of 7520 characters, 5 topics, and is licensed. The project is 15.8 years old and currently active (last push 0 days ago)."
bytedance/deer-flow,https://github.com/bytedance/deer-flow,69954,9449,927,256,2185,0,1,40120,18,1,Python,387,0,8.5,1,1.1,active,"Repository in Python with very high popularity (69954 stars, 9449 forks). Maintained by a large community of 256 contributors, 2185 total commits (8.5 per contributor). 0 releases, 927 open issues. It has CI/CD workflows, has a README of 40120 characters, 18 topics, and is licensed. The project is 1.1 years old and currently active (last push 0 days ago)."
python/cpython,https://github.com/python/cpython,72899,34684,9326,352,131576,0,1,8906,0,1,Python,3394,0,373.8,1,9.3,active,"Repository in Python with very high popularity (72899 stars, 34684 forks). Maintained by a large community of 352 contributors, 131576 total commits (373.8 per contributor). 0 releases, 9326 open issues. It has CI/CD workflows, has a README of 8906 characters, no topics, and is licensed. The project is 9.3 years old and currently active (last push 0 days ago)."
django/django,https://github.com/django/django,87584,33955,445,393,34639,0,1,2017,9,1,Python,5144,0,88.1,1,14.1,active,"Repository in Python with very high popularity (87584 stars, 33955 forks). Maintained by a large community of 393 contributors, 34639 total commits (88.1 per contributor). 0 releases, 445 open issues. It has CI/CD workflows, has a README of 2017 characters, 9 topics, and is licensed. The project is 14.1 years old and currently active (last push 0 days ago)."
openai/openai-python,https://github.com/openai/openai-python,30840,4813,556,149,1379,382,1,29480,2,1,Python,2041,0,9.3,1,5.6,active,"Repository in Python with very high popularity (30840 stars, 4813 forks). Maintained by a large community of 149 contributors, 1379 total commits (9.3 per contributor). 382 releases, 556 open issues. It has CI/CD workflows, has a README of 29480 characters, 2 topics, and is licensed. The project is 5.6 years old and currently active (last push 0 days ago)."
docling-project/docling,https://github.com/docling-project/docling,60594,4221,912,225,1061,175,1,8048,15,1,Python,689,0,4.7,1,1.9,active,"Repository in Python with very high popularity (60594 stars, 4221 forks). Maintained by a large community of 225 contributors, 1061 total commits (4.7 per contributor). 175 releases, 912 open issues. It has CI/CD workflows, has a README of 8048 characters, 15 topics, and is licensed. The project is 1.9 years old and currently active (last push 0 days ago)."
run-llama/llama_index,https://github.com/run-llama/llama_index,49759,7478,395,474,7819,431,1,13325,10,1,Python,1304,0,16.5,1,3.6,active,"Repository in Python with very high popularity (49759 stars, 7478 forks). Maintained by a large community of 474 contributors, 7819 total commits (16.5 per contributor). 431 releases, 395 open issues. It has CI/CD workflows, has a README of 13325 characters, 10 topics, and is licensed. The project is 3.6 years old and currently active (last push 0 days ago)."
huggingface/peft,https://github.com/huggingface/peft,21203,2311,49,294,1711,32,1,12208,10,1,Python,1281,0,5.8,1,3.5,active,"Repository in Python with very high popularity (21203 stars, 2311 forks). Maintained by a large community of 294 contributors, 1711 total commits (5.8 per contributor). 32 releases, 49 open issues. It has CI/CD workflows, has a README of 12208 characters, 10 topics, and is licensed. The project is 3.5 years old and currently active (last push 0 days ago)."
